tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
Banco Consorcio,Efectivo y dep�sitos en bancos,99043.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,92ef988089d3070058db9995d55a39197ed7558d0fcac5fa4cd842a6767f7448,2019-10-01
Banco de Chile,Efectivo y dep�sitos en bancos,1657366.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,0b43eb2e65fc6c0400e3c46c6d05c88e287fccf15ea21407839b13fdeb67663f,2019-10-01
Banco de Cr�dito e Inversiones,Efectivo y dep�sitos en bancos,2528920.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,4264b4ca7a84a97ae8be67a56df117989ce765b42243b7d8029dc3f6ae3d8392,2019-10-01
Banco del Estado de Chile,Efectivo y dep�sitos en bancos,3141290.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,a79a768e21d6808084c182dd8d7807bbc9062d521d26bb0da719edb38c99f064,2019-10-01
Banco do Brasil S.A.,Efectivo y dep�sitos en bancos,2949.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,bafc501e7d792092f36f078508655878df2c3825e642c44a659b02b8eae94745,2019-10-01
Banco Falabella,Efectivo y dep�sitos en bancos,121276.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,a5800d8799d4b481109b22ca22a323fa0b87e9552244afcb32b9578653cb9d0c,2019-10-01
Banco Internacional,Efectivo y dep�sitos en bancos,117412.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,6af97c93b4ed7365760504978b43ba66ad4f707e0901e2f0cc8e60e9a3d26600,2019-10-01
Banco Ripley,Efectivo y dep�sitos en bancos,15704.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,e0d8df131edbc7d41b64a71c35da0a91cd41c2d94402c11a464141a2688fba00,2019-10-01
Banco Santander-Chile,Efectivo y dep�sitos en bancos,2444999.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,687312076d512230abdc5c15092d04e585d084f6bc788df5ff4dcd21ece13d33,2019-10-01
Banco Security,Efectivo y dep�sitos en bancos,558519.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,5b6c31112465527ad52433117a91d394dba52511711d593a1ae6b354bd6b5eb3,2019-10-01
"Bank of China, Agencia en Chile",Efectivo y dep�sitos en bancos,12922.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,e864649eaa30cb940abbe5a9da12db3057e076326763f6bc7ce119f8adf32822,2019-10-01
"China Construction Bank, Agencia en Chile",Efectivo y dep�sitos en bancos,59146.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,b7a2b7202e7cd209ea5a36d6641dfbd4eed136b2d3ade6e9c699e8779d2fe1fd,2019-10-01
HSBC Bank (Chile),Efectivo y dep�sitos en bancos,202221.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,1c2331b4e68010acd69f364c24eb9c4ac61db401a0809e7361e667ab765feb35,2019-10-01
Ita� Corpbanca,Efectivo y dep�sitos en bancos,984711.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,cc7a1f7a472083887a80737cab7d437a771dc871bec5f6395729e60dda1eff20,2019-10-01
"JP Morgan Chase Bank, N.A.",Efectivo y dep�sitos en bancos,240150.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,1a48a2c281830167b4ac11697c1f1ff4f0da927d918cf6921b60d00da1195cac,2019-10-01
Scotiabank Chile,Efectivo y dep�sitos en bancos,768875.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,f18ad2fc5a654b066263a0e716c4ad9090d814bf73b3a37829763b04c344b05c,2019-10-01
Banco Bice,Instrumentos financieros no derivados,1115015.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,ea266459414772f7895122341409db730954ff621e9cd29fee96bbb318efb1d7,2019-10-01
Banco BTG Pactual Chile,Instrumentos financieros no derivados,178489.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,d2521dbeaa18de20d440eab05147b31c8dbf4a0013e3b30a2e68d88359e159ea,2019-10-01
Banco Consorcio,Instrumentos financieros no derivados,1734993.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,e4d4b8fb1594fdaad126f808ad7043cbd4dc78278f3be5eaba131705ab21107a,2019-10-01
Banco de Chile,Instrumentos financieros no derivados,3504743.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,487bc088f258e64c97775937242eb19defd879b8d9e970ccd399b1c2dd2b5ba1,2019-10-01
Banco de Cr�dito e Inversiones,Instrumentos financieros no derivados,6072130.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,d57e2e4eb037e74adc35cc596897ee321544fd016e2f0afac944b3d888cd6b30,2019-10-01
Banco del Estado de Chile,Instrumentos financieros no derivados,8625489.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,80690538c42abc3610d69ed6050d02b9dda91eceb4c6270eaac2bc7e124c1590,2019-10-01
Banco do Brasil S.A.,Instrumentos financieros no derivados,20711.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,3624c003c55ed2f52437750f110982a463b04d3e10a8a336fd36599bb6ffe77e,2019-10-01
Banco Falabella,Instrumentos financieros no derivados,676738.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,6cfabb94aa93d1a35b1ae5cdd2bbe9b8386f4a9995a83d041048c7a8dfe66ad4,2019-10-01
Banco Internacional,Instrumentos financieros no derivados,398802.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,e8e9a8778619757dfc86880703b1903ae0acc51f78cd9b33e597e5a7f99afb39,2019-10-01
Banco Ripley,Instrumentos financieros no derivados,140467.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,c28bffb8d07440beadd60ff3651cd014cd637c8f93076ade3890f5bb427f1abe,2019-10-01
Banco Santander-Chile,Instrumentos financieros no derivados,3396729.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,a68b7ea6a0a7e0da23a204d0cd6cca6c81225981119502ded4801d55e0262845,2019-10-01
Banco Security,Instrumentos financieros no derivados,755658.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,e439f3603bc5611cfb3117620efad73edd4d3cfe52fe69843af3e843719fcfd2,2019-10-01
"Bank of China, Agencia en Chile",Instrumentos financieros no derivados,33184.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,7a47157789f6c7d297a53ac400fe0d41b97cdd9bc877f553905f3399e8164b52,2019-10-01
"China Construction Bank, Agencia en Chile",Instrumentos financieros no derivados,9333.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,391904810420d2ba98f94752bbe07b74c223c92ca1f2416cea8bcfa13b0e0480,2019-10-01
HSBC Bank (Chile),Instrumentos financieros no derivados,428892.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,478d6a8dab35645da169e30215ec7dbb37b847f15a1ec84b19a937b2b68cc18c,2019-10-01
Ita� Corpbanca,Instrumentos financieros no derivados,3383851.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,e2be0a79537769fa231057c0860b19e73abb22066729ba0ca7f9b1131a123c96,2019-10-01
"JP Morgan Chase Bank, N.A.",Instrumentos financieros no derivados,217774.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,6bbae5eebf610cfe0190125c0a76964eebb3e8abd055195bc02e50ce22868f16,2019-10-01
Scotiabank Chile,Instrumentos financieros no derivados,1692619.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,0fd4863dc358ca6b084abac1c1f62c64b138bf3cf9f45912b629ef82a3373dde,2019-10-01
Banco Bice,Instrumentos financieros derivados,120135.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,93d727826e804fefb4d53d7eb9a4aaca17bb92fc42d484929e9d1932895242fb,2019-10-01
Banco BTG Pactual Chile,Instrumentos financieros derivados,76482.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,9811d4ecfff547acb46877cb85697a651398215f71540137eb207b1616319422,2019-10-01
Banco Consorcio,Instrumentos financieros derivados,65893.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,967a6bc41a1fd142e9ad926e279d71b66b09c8658ab057ad4d5f7424551fcdda,2019-10-01
Banco de Chile,Instrumentos financieros derivados,2646675.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,2b4db430ac7524df3ede33d7bb340584fb639b9c950a21f4ab040235fdc03c30,2019-10-01
Banco de Cr�dito e Inversiones,Instrumentos financieros derivados,3981427.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,747d2f768f0faaf87af31781c84a07f859ddf1836a8df165731367b1d9b7c0fb,2019-10-01
Banco del Estado de Chile,Instrumentos financieros derivados,1374391.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,ccf995327ce4bf528d0e45cd909af84f8d0be11ba6e8464b718616b2a9238f83,2019-10-01
Banco do Brasil S.A.,Instrumentos financieros derivados,0.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,856b5ab71d1eabe17dcd6be9409def3cb1321e05037cc63f72a17e5cabce2e6f,2019-10-01
Banco Falabella,Instrumentos financieros derivados,377208.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,03171c9009a178ad4815a688192c6e0c56a781772a461bf9251087c4dfdbbfdd,2019-10-01
Banco Internacional,Instrumentos financieros derivados,360327.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,a7b2fb6e926eb5b250d52b11e84ccdcfd17d56ff143312416b3d4e2fd9c37b61,2019-10-01
Banco Ripley,Instrumentos financieros derivados,11843.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,6c476abf98b7c33a6d01bd7d153483ece7f349e5bb80707be8669a6390af551b,2019-10-01
Banco Santander-Chile,Instrumentos financieros derivados,7483384.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,0ff6dad004c4160b3250bfd9a2755203d3f16ea62e8da88739dfafd2ce5abac0,2019-10-01
Banco Security,Instrumentos financieros derivados,275647.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,83802298d7e8be9eb1620878afbccfbac4b2f3e9aeab31ff7cf871d42f2164e6,2019-10-01
"Bank of China, Agencia en Chile",Instrumentos financieros derivados,0.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,11cd44fba847ac124e587da4942f19541be8fb61cdd35cc6a7ea69b8e1f96c8f,2019-10-01
"China Construction Bank, Agencia en Chile",Instrumentos financieros derivados,1098.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,8c610af12b4dfc3a30e45c67be8bfd0259c5fb1d1309d6b3143d917eafa87fa1,2019-10-01
