tbl_poc_cmf_activosbanco2_mes.instituciones,tbl_poc_cmf_activosbanco2_mes.producto,tbl_poc_cmf_activosbanco2_mes.monto,tbl_poc_cmf_activosbanco2_mes.mdm_fhnew,tbl_poc_cmf_activosbanco2_mes.mdm_processnew,tbl_poc_cmf_activosbanco2_mes.mdm_hash,tbl_poc_cmf_activosbanco2_mes.periodo_mes
Banco Bice,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,c564a888b646ede886426f6d50f95de626f98419543a00f2312bbe981a5c934b,9/1/2019
Banco BTG Pactual Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,4556ed9bef47a5ecd8825a75c26350f70914db2fc6ccbd84da9b424b217592e6,9/1/2019
Banco Consorcio,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,3ab88305da1ed477e837282775081f5da1bb14ac6141248ba8f4c7bfd64db2ed,9/1/2019
Banco de Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,0292df284374bb33ecaea391bb0c24d479de9a59fc070a335acbc991bce10835,9/1/2019
Banco de Cr�dito e Inversiones,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,dde26995ef8309ae6ea950461282f55379a11455529382e8ad158532d4d865f5,9/1/2019
Banco del Estado de Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,5d188584ea7cfb493fed722ab1af3b54fa878eaf0d5f464a7e27fe45b5856db5,9/1/2019
Banco do Brasil S.A.,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,2b2db72b6f7599b8f6d5db29c729d7c249216cce10505cb17daa8076108f5732,9/1/2019
Banco Falabella,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,f842d4272c49225575abf5799feb432fe63649bde8d048577a5bd70cc347e590,9/1/2019
Banco Internacional,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,8bacdc96e93f3e1abf6f397b7d460ac62f1ada78dd27c27c3e10e1d0d70f71b8,9/1/2019
Banco Ripley,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,48dc7be489c69d69ef0d33a921b9ff6c104d5747dd73a72a4df1b68786a78dec,9/1/2019
Banco Santander-Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,82c44c3f8620a91478456353cc358da93786b0f57247a7a092024d95aa2a7753,9/1/2019
Banco Security,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,1137,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,e9f0ca4ae966bca83e5b0a97e7fe59949d023c1569d39aeb069d54df2596a662,9/1/2019
"Bank of China, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,1a9cb1694469f03e5f669033c957d155f88ee75a828c63359e70842f0bfd65f9,9/1/2019
"China Construction Bank, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,efc52cb5857c40f044c0bd03c704e4188229c6c9dfb5a974362e48e74edde2fb,9/1/2019
HSBC Bank (Chile),Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,614bccc6d9eee228778c79aa4098b3f569910bfe4a1356baad8c3643b3097732,9/1/2019
Ita� Corpbanca,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,9b81744ba75ab84175920008268fd3e0c4e55771bfcc197e31172583ab1a14eb,9/1/2019
"JP Morgan Chase Bank, N.A.",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,1d8b1f312e77d9843a93c4d4ae2630359ab8607f63591bb4aac747de14cb6789,9/1/2019
Scotiabank Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Cr�ditos de comercio exterior,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,87f82561bcffe5b0107c40de223e633c7e8267598036a44b85dfc198e5055a89,9/1/2019
Banco Bice,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,094cb7e9fd4891f42fbf7349cb296cce0acad655ade551531ebe76d5a64eabb1,9/1/2019
