periodo_mes||institucion_nom||producto_nom||activo_mon||activo_mon_mes_ant
201909||China Construction Bank, Agencia en Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||0.00||0.00
201909||Banco del Estado de Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||10039554.00||0.00
201909||Banco Internacional||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||0.00||0.00
201909||Banco del Estado de Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||13.00||0.00
201909||Banco del Estado de Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||196472.00||0.00
201909||Banco Consorcio||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Colocaciones||2734478.00||0.00
201909||Banco Ripley||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Otros||0.00||0.00
201909||Banco de Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Total||4501112.00||0.00
201909||Banco Bice||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||3827.00||0.00
201909||Banco del Estado de Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||0.00||0.00
201909||China Construction Bank, Agencia en Chile||Colocaciones||172592.00||0.00
201909||Scotiabank Chile||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||24439361.00||0.00
201909||Banco Security||Activos/Adeudado por bancos (neto de provisiones)/Banco Central de Chile||0.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||321453.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Tarjetas de crédito||1326985.00||0.00
201909||Banco del Estado de Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Préstamos interbancarios||740780.00||0.00
201909||Banco BTG Pactual Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Créditos de comercio exterior||0.00||0.00
201909||Banco del Estado de Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Total (1)||773218.00||0.00
201909||Banco Bice||Activos/Adeudado por bancos (neto de provisiones)/Banco Central de Chile||0.00||0.00
201909||Banco do Brasil S.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||0.00||0.00
201909||Itaú Corpbanca||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||0.00||0.00
201909||Banco Consorcio||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Tarjetas de crédito||1308.00||0.00
201909||Bank of China, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Provisiones constituidas de créd. y ctas. por cob. a clientes||0.00||0.00
201909||Banco Bice||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Colocaciones||4840035.00||0.00
201909||Banco do Brasil S.A.||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Préstamos interbancarios||12772.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Tarjetas de crédito||1378390.00||0.00
201909||Banco BTG Pactual Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||0.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Total||15962118.00||0.00
201909||Banco BTG Pactual Chile||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Créditos de comercio exterior||0.00||0.00
201909||Banco do Brasil S.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Total||0.00||0.00
201909||HSBC Bank (Chile)||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Provisiones para créditos con bancos del exterior||8.00||0.00
201909||Banco Santander-Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Consumo (1)/Provisiones||260382.00||0.00
201909||Banco de Crédito e Inversiones||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Provisiones para créditos con bancos del país||0.00||0.00
201909||Banco de Chile||Activos/Créditos y cuentas por cobrar a clientes /Personas/Vivienda (1)/Colocaciones||8880650.00||0.00
201909||Banco Falabella||Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Total (1)||0.00||0.00
201909||Banco Falabella||Activos/Adeudado por bancos (neto de provisiones)/Bancos del país/Total (1)||0.00||0.00
201909||China Construction Bank, Agencia en Chile||Activos/Créditos y cuentas por cobrar a clientes /Total (1)||167172.00||0.00
201909||Banco BTG Pactual Chile||Activos/Créditos y cuentas por cobrar a clientes /Colocaciones comerciales (empresas) (1)/Colocaciones||872978.00||0.00
201909||JP Morgan Chase Bank, N.A.||Activos/Créditos y cuentas por cobrar a clientes /Personas/Provisiones||0.00||0.00
