tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
"China Construction Bank, Agencia en Chile",Instrumentos financieros derivados,252.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,0d99dbd2ee7e74ab1d37994a59e5601e13f4d6a659f203001ae7f4e22ac2917c,2019-09-01
HSBC Bank (Chile),Instrumentos financieros derivados,178469.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,06d7591ee7492aed1f8dda1250792e007e52d4f6d5785a44abd0e86e7da6e8b1,2019-09-01
Ita� Corpbanca,Instrumentos financieros derivados,3208718.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,f21f642af02f30924aaa51aeb655a969bd25cdb81bfa73e2ca2b020840f994b2,2019-09-01
"JP Morgan Chase Bank, N.A.",Instrumentos financieros derivados,343988.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,161f601ef370a4ad7d479eb86cbe54fc58f50d3db34cc5109f87a9b08e832542,2019-09-01
Scotiabank Chile,Instrumentos financieros derivados,4127347.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,52afccc1a123bf5a86d7d058f6146b546f813f2888d40ad089de8eb1ce78c82a,2019-09-01
Banco Bice,Contratos de retrocompra y pr�stamos de valores (activos),1762.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,abb73e2b9a12ab5eb126303a33338f6bb4c47b974479e3115151143782a5bd9d,2019-09-01
Banco BTG Pactual Chile,Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,a38695ce127ada240ec8a1c898167090ee419b42aa07e03045a19e5fb50f3dd8,2019-09-01
Banco Consorcio,Contratos de retrocompra y pr�stamos de valores (activos),7094.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,7f0e0af2c730f92137a8c4a0c5c378b7db81c7c1af737333bba667a06ec9c654,2019-09-01
Banco de Chile,Contratos de retrocompra y pr�stamos de valores (activos),86864.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,fa9592db363f17204f3c5de2f090b0011dbf6360995345e64bb679270d079759,2019-09-01
Banco de Cr�dito e Inversiones,Contratos de retrocompra y pr�stamos de valores (activos),131660.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,cd09b8ac53cae14df0d69c823c94f97037cde2f0fe6c836240c4f447ab40b2d8,2019-09-01
Banco del Estado de Chile,Contratos de retrocompra y pr�stamos de valores (activos),229031.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,b284813201a7b1956f30e2a18557fb1ae663a188c01fecb568e4a8d64fd493a0,2019-09-01
Banco do Brasil S.A.,Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,bfbdafa3559143534d34bf257ca3e06641c4c0b469a8b84ed9eaa31460734d7c,2019-09-01
Banco Falabella,Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,5529cd4bc24fbaaa07d2ccd1ade86ca27e42c233ee6bf24b1917d9a77684de09,2019-09-01
Banco Internacional,Contratos de retrocompra y pr�stamos de valores (activos),239232.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,7209f0e6e264029e53996604777bae61cc45211c49453c695faa8996a07bf4c1,2019-09-01
Banco Ripley,Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,5f4bf2d0da976025e130f5b9aa02d6b790616b890114039b4fbdb79806e5d14e,2019-09-01
Banco Santander-Chile,Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,96306289c9c55833c89d60ea528fc561f4702e2307824d9b198e6d53cf758803,2019-09-01
Banco Security,Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,d30dc2565d2f99c0147f5f31ea88365bf8bf607b57e77a7f7997d3572ec43318,2019-09-01
"Bank of China, Agencia en Chile",Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,f1d9193c16312b6c8f4037b8da492d2b71c36aab27c2f58c51685e3920ab30b8,2019-09-01
"China Construction Bank, Agencia en Chile",Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,bbc8c914728683eabd47722f4d0ff1f4a09c5d5a2ab86d13ea1c4fcc33c6574c,2019-09-01
HSBC Bank (Chile),Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,07312732028ce274f0f872ae443b88a68199d4cd70435406bbbf88fbf718aaae,2019-09-01
Ita� Corpbanca,Contratos de retrocompra y pr�stamos de valores (activos),168945.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,b878124c56f9c900038ba05eea1d89593ec612c7491485a4a0d2e4adfd83c84c,2019-09-01
